#Frequency (Hz), CH2_S21_S1re (), CH2_S21_S1im (), CH2_S21_S1dB (dB), CH2_S21_S1Ph (rad)
5.1000000000e+09, 3.1167240000e-04, -1.0255430000e-03, -5.9397260378e+01, -1.2757565809e+00
5.1010000000e+09, 3.2520990000e-04, -1.0578610000e-03, -5.9119236976e+01, -1.2725442093e+00
5.1020000000e+09, 2.7480360000e-04, -1.0131700000e-03, -5.9578063985e+01, -1.3059370421e+00
5.1030000000e+09, 2.8910640000e-04, -1.0241420000e-03, -5.9459812144e+01, -1.2956641472e+00
5.1040000000e+09, 3.1913590000e-04, -1.0480310000e-03, -5.9207403348e+01, -1.2752070880e+00
5.1050000000e+09, 2.9802400000e-04, -1.0455680000e-03, -5.9273712264e+01, -1.2931243348e+00
5.1060000000e+09, 3.4162720000e-04, -1.0031910000e-03, -5.9495810599e+01, -1.2425733757e+00
5.1070000000e+09, 2.9957480000e-04, -1.0651250000e-03, -5.9121347379e+01, -1.2966215728e+00
5.1080000000e+09, 3.1642060000e-04, -1.0578100000e-03, -5.9139663714e+01, -1.2801397152e+00
5.1090000000e+09, 3.3767700000e-04, -1.0547500000e-03, -5.9113241905e+01, -1.2609583641e+00
5.1100000000e+09, 2.8770230000e-04, -1.0923100000e-03, -5.8941786825e+01, -1.3132566055e+00
5.1110000000e+09, 2.9382680000e-04, -1.0479670000e-03, -5.9264396291e+01, -1.2974372198e+00
5.1120000000e+09, 3.7557510000e-04, -1.0257970000e-03, -5.9232444850e+01, -1.2198246423e+00
5.1130000000e+09, 3.0345970000e-04, -1.0373400000e-03, -5.9324969011e+01, -1.2862008670e+00
5.1140000000e+09, 2.7988070000e-04, -1.0243550000e-03, -5.9478309243e+01, -1.3040798814e+00
5.1150000000e+09, 2.7316350000e-04, -1.0651340000e-03, -5.9175274574e+01, -1.3197476403e+00
5.1160000000e+09, 2.9903220000e-04, -1.0560080000e-03, -5.9191668205e+01, -1.2948483927e+00
5.1170000000e+09, 3.0064430000e-04, -1.0364200000e-03, -5.9338405880e+01, -1.2884654806e+00
5.1180000000e+09, 3.7238990000e-04, -1.0148600000e-03, -5.9323285222e+01, -1.2191130701e+00
5.1190000000e+09, 2.6413930000e-04, -1.0916000000e-03, -5.8991609007e+01, -1.3333852770e+00
5.1200000000e+09, 2.8366660000e-04, -1.0369200000e-03, -5.9371662257e+01, -1.3037632950e+00
5.1210000000e+09, 3.3351450000e-04, -1.0237760000e-03, -5.9357857259e+01, -1.2558690365e+00
5.1220000000e+09, 3.3529540000e-04, -1.0210000000e-03, -5.9374691545e+01, -1.2534932081e+00
5.1230000000e+09, 3.0519840000e-04, -1.0637760000e-03, -5.9119470764e+01, -1.2913998595e+00
5.1240000000e+09, 2.8224940000e-04, -1.0652230000e-03, -5.9156508429e+01, -1.3117810300e+00
5.1250000000e+09, 3.0898520000e-04, -1.0299530000e-03, -5.9369388507e+01, -1.2793401558e+00
5.1260000000e+09, 2.8390140000e-04, -1.0796150000e-03, -5.9044232123e+01, -1.3136526394e+00
5.1270000000e+09, 3.0657690000e-04, -9.7856720000e-04, -5.9781563771e+01, -1.2671904330e+00
5.1280000000e+09, 2.8348800000e-04, -1.0741020000e-03, -5.9086635299e+01, -1.3127504251e+00
5.1290000000e+09, 2.7371450000e-04, -1.0102850000e-03, -5.9603497964e+01, -1.3062197439e+00
5.1300000000e+09, 2.9596600000e-04, -1.0256480000e-03, -5.9432667315e+01, -1.2898631946e+00
5.1310000000e+09, 2.8420450000e-04, -9.7473410000e-04, -5.9867924069e+01, -1.2870900991e+00
5.1320000000e+09, 3.0210260000e-04, -1.0291910000e-03, -5.9391133410e+01, -1.2852821044e+00
5.1330000000e+09, 3.5106190000e-04, -9.8924110000e-04, -5.9578805150e+01, -1.2297806844e+00
5.1340000000e+09, 2.9488300000e-04, -1.0485320000e-03, -5.9257778896e+01, -1.2966435690e+00
5.1350000000e+09, 2.6068940000e-04, -1.0400160000e-03, -5.9394561751e+01, -1.3251974980e+00
5.1360000000e+09, 2.9779880000e-04, -1.0486300000e-03, -5.9250706128e+01, -1.2940929855e+00
5.1370000000e+09, 3.1037990000e-04, -1.0495620000e-03, -5.9215736075e+01, -1.2832677473e+00
5.1380000000e+09, 3.0253400000e-04, -1.0444370000e-03, -5.9272445896e+01, -1.2888504564e+00
5.1390000000e+09, 3.0220330000e-04, -1.0486040000e-03, -5.9241257319e+01, -1.2902039169e+00
5.1400000000e+09, 3.3242850000e-04, -1.0204290000e-03, -5.9386289393e+01, -1.2558651835e+00
5.1410000000e+09, 3.0524920000e-04, -1.0400700000e-03, -5.9299907131e+01, -1.2853234943e+00
5.1420000000e+09, 2.6450160000e-04, -1.0770660000e-03, -5.9100834965e+01, -1.3299857080e+00
5.1430000000e+09, 3.3464150000e-04, -1.0094650000e-03, -5.9465356595e+01, -1.2506932404e+00
5.1440000000e+09, 2.7938690000e-04, -1.0560960000e-03, -5.9232154945e+01, -1.3121740330e+00
5.1450000000e+09, 2.8353330000e-04, -1.0229500000e-03, -5.9481462878e+01, -1.3004117643e+00
5.1460000000e+09, 2.3152280000e-04, -1.0061660000e-03, -5.9722538661e+01, -1.3446291863e+00
5.1470000000e+09, 3.1064730000e-04, -1.0744330000e-03, -5.9027746243e+01, -1.2893446181e+00
5.1480000000e+09, 3.0754890000e-04, -1.0315460000e-03, -5.9360389347e+01, -1.2810434654e+00
5.1490000000e+09, 2.7769810000e-04, -1.0046270000e-03, -5.9640135835e+01, -1.3011112610e+00
5.1500000000e+09, 3.4398440000e-04, -9.9910470000e-04, -5.9521274761e+01, -1.2392150309e+00
5.1510000000e+09, 2.9462530000e-04, -1.0677490000e-03, -5.9111936673e+01, -1.3015645606e+00
5.1520000000e+09, 3.0866800000e-04, -1.0292900000e-03, -5.9375256295e+01, -1.2794456033e+00
5.1530000000e+09, 3.2527060000e-04, -1.0767080000e-03, -5.8978747733e+01, -1.2774164990e+00
5.1540000000e+09, 3.2880880000e-04, -1.0452770000e-03, -5.9205585326e+01, -1.2660302049e+00
5.1550000000e+09, 2.9310140000e-04, -1.0316000000e-03, -5.9392617568e+01, -1.2939683725e+00
5.1560000000e+09, 2.6308450000e-04, -1.0855980000e-03, -5.9038771302e+01, -1.3330393750e+00
5.1570000000e+09, 2.8480050000e-04, -1.0393180000e-03, -5.9350581058e+01, -1.3033355518e+00
5.1580000000e+09, 2.5048600000e-04, -1.0601190000e-03, -5.9256972919e+01, -1.3387707339e+00
5.1590000000e+09, 3.0105830000e-04, -1.0485110000e-03, -5.9244488719e+01, -1.2911888744e+00
5.1600000000e+09, 2.8782550000e-04, -1.0302850000e-03, -5.9414484508e+01, -1.2983766182e+00
5.1610000000e+09, 2.8978080000e-04, -1.0484810000e-03, -5.9269105236e+01, -1.3011461575e+00
5.1620000000e+09, 2.9582460000e-04, -1.0582620000e-03, -5.9181378023e+01, -1.2982159499e+00
5.1630000000e+09, 2.8906420000e-04, -1.1011050000e-03, -5.8873982380e+01, -1.3140674884e+00
5.1640000000e+09, 3.3073290000e-04, -1.0141750000e-03, -5.9438824752e+01, -1.2555605394e+00
5.1650000000e+09, 3.3694330000e-04, -1.0612140000e-03, -5.9066813175e+01, -1.2633560806e+00
5.1660000000e+09, 2.6301190000e-04, -1.0702810000e-03, -5.9155393068e+01, -1.3298301542e+00
5.1670000000e+09, 3.2836020000e-04, -1.0742330000e-03, -5.8990105235e+01, -1.2741463610e+00
5.1680000000e+09, 2.8826790000e-04, -1.0376410000e-03, -5.9356179339e+01, -1.2998187988e+00
5.1690000000e+09, 2.7013920000e-04, -1.0233900000e-03, -5.9506647804e+01, -1.3127178767e+00
5.1700000000e+09, 3.3748190000e-04, -1.0355520000e-03, -5.9258193895e+01, -1.2557545495e+00
5.1710000000e+09, 2.9049450000e-04, -1.0590650000e-03, -5.9186506292e+01, -1.3030871897e+00
5.1720000000e+09, 2.8945120000e-04, -1.0402730000e-03, -5.9333201061e+01, -1.2994153834e+00
5.1730000000e+09, 3.0789870000e-04, -1.0487670000e-03, -5.9227361090e+01, -1.2852383194e+00
5.1740000000e+09, 3.0629590000e-04, -1.0958440000e-03, -5.8878337869e+01, -1.2982449839e+00
5.1750000000e+09, 3.1462300000e-04, -1.0497170000e-03, -5.9204955376e+01, -1.2795948413e+00
5.1760000000e+09, 2.7944560000e-04, -1.0429230000e-03, -5.9333840601e+01, -1.3090012113e+00
5.1770000000e+09, 2.9239680000e-04, -1.0116030000e-03, -5.9551324795e+01, -1.2894218594e+00
5.1780000000e+09, 2.8400890000e-04, -1.0473620000e-03, -5.9289917978e+01, -1.3059980944e+00
5.1790000000e+09, 3.2042490000e-04, -1.0696300000e-03, -5.9042100150e+01, -1.2797376425e+00
5.1800000000e+09, 2.9488530000e-04, -1.0175110000e-03, -5.9498964642e+01, -1.2887137780e+00
5.1810000000e+09, 2.8800870000e-04, -1.0585680000e-03, -5.9195484125e+01, -1.3051525389e+00
5.1820000000e+09, 3.1280440000e-04, -1.0716520000e-03, -5.9043827708e+01, -1.2867964939e+00
5.1830000000e+09, 3.0017640000e-04, -1.0263410000e-03, -5.9417707740e+01, -1.2862598286e+00
5.1840000000e+09, 3.1671840000e-04, -1.0357830000e-03, -5.9306438755e+01, -1.2740481881e+00
5.1850000000e+09, 2.6691980000e-04, -1.0436880000e-03, -5.9353433212e+01, -1.3204163266e+00
5.1860000000e+09, 2.4108090000e-04, -1.0763330000e-03, -5.9148476446e+01, -1.3504495544e+00
5.1870000000e+09, 3.0752450000e-04, -1.0479950000e-03, -5.9234087629e+01, -1.2853679494e+00
5.1880000000e+09, 2.7738450000e-04, -1.0579310000e-03, -5.9222106660e+01, -1.3143731072e+00
5.1890000000e+09, 3.0500920000e-04, -1.0721380000e-03, -5.9056999314e+01, -1.2936318020e+00
5.1900000000e+09, 3.4790170000e-04, -1.0130550000e-03, -5.9403169401e+01, -1.2399968619e+00
5.1910000000e+09, 2.8669070000e-04, -1.0206470000e-03, -5.9492677474e+01, -1.2969614606e+00
5.1920000000e+09, 2.4250710000e-04, -1.0729410000e-03, -5.9172102929e+01, -1.3485103814e+00
5.1930000000e+09, 3.2084180000e-04, -1.0610140000e-03, -5.9105576167e+01, -1.2771467826e+00
5.1940000000e+09, 3.2854830000e-04, -1.0657090000e-03, -5.9052914690e+01, -1.2717507394e+00
5.1950000000e+09, 2.8680830000e-04, -1.0262870000e-03, -5.9448036795e+01, -1.2982865061e+00
5.1960000000e+09, 2.8094220000e-04, -1.0767230000e-03, -5.9071878269e+01, -1.3155635549e+00
5.1970000000e+09, 2.9077810000e-04, -1.0453070000e-03, -5.9291428745e+01, -1.2994809015e+00
5.1980000000e+09, 2.9604520000e-04, -1.0352510000e-03, -5.9357714262e+01, -1.2922652052e+00
5.1990000000e+09, 3.0631850000e-04, -1.0421020000e-03, -5.9281888099e+01, -1.2849057126e+00
5.2000000000e+09, 2.8853200000e-04, -1.0646170000e-03, -5.9148307444e+01, -1.3061344791e+00
5.2010000000e+09, 3.1114290000e-04, -9.8598070000e-04, -5.9710353584e+01, -1.2651198341e+00
5.2020000000e+09, 2.4507530000e-04, -1.0434010000e-03, -5.9397754020e+01, -1.3400969329e+00
5.2030000000e+09, 2.6540240000e-04, -1.0622190000e-03, -5.9212722356e+01, -1.3259526576e+00
5.2040000000e+09, 2.7606380000e-04, -1.0171160000e-03, -5.9543890820e+01, -1.3057631211e+00
5.2050000000e+09, 2.5890240000e-04, -1.0837620000e-03, -5.9060286060e+01, -1.3362989777e+00
5.2060000000e+09, 2.2775720000e-04, -1.0141240000e-03, -5.9664472503e+01, -1.3498767709e+00
5.2070000000e+09, 1.9910390000e-04, -9.9913370000e-04, -5.9838400889e+01, -1.3740965047e+00
5.2080000000e+09, 1.5605960000e-04, -1.0485740000e-03, -5.9492870004e+01, -1.4230505200e+00
5.2090000000e+09, 1.8230600000e-04, -1.0076850000e-03, -5.9793634185e+01, -1.3918166037e+00
5.2100000000e+09, 1.6544610000e-04, -1.0291940000e-03, -5.9639252227e+01, -1.4114068738e+00
5.2110000000e+09, 2.2710780000e-04, -1.0244450000e-03, -5.9581868407e+01, -1.3526359283e+00
5.2120000000e+09, 2.5803350000e-04, -1.0082700000e-03, -5.9652954863e+01, -1.3202564605e+00
5.2130000000e+09, 2.8978220000e-04, -1.0338420000e-03, -5.9382449003e+01, -1.2975127850e+00
5.2140000000e+09, 3.6017000000e-04, -1.0441040000e-03, -5.9136844583e+01, -1.2386220447e+00
5.2150000000e+09, 3.3484670000e-04, -1.0076680000e-03, -5.9478768587e+01, -1.2499772906e+00
5.2160000000e+09, 3.2257380000e-04, -1.0903210000e-03, -5.8884506041e+01, -1.2831492402e+00
5.2170000000e+09, 2.9569700000e-04, -1.0322490000e-03, -5.9381802172e+01, -1.2918083085e+00
5.2180000000e+09, 2.8172090000e-04, -1.0750790000e-03, -5.9082762461e+01, -1.3145121255e+00
5.2190000000e+09, 2.8307930000e-04, -1.0585310000e-03, -5.9205937869e+01, -1.3094846289e+00
5.2200000000e+09, 2.5284990000e-04, -1.0389290000e-03, -5.9418373126e+01, -1.3320621075e+00
5.2210000000e+09, 2.3872240000e-04, -1.0608490000e-03, -5.9272396247e+01, -1.3494537344e+00
5.2220000000e+09, 2.7103060000e-04, -1.0381220000e-03, -5.9388662437e+01, -1.3154189865e+00
5.2230000000e+09, 3.3766280000e-04, -1.0311040000e-03, -5.9291528362e+01, -1.2543257388e+00
5.2240000000e+09, 2.7471010000e-04, -1.0163160000e-03, -5.9553176471e+01, -1.3068050027e+00
5.2250000000e+09, 3.0903680000e-04, -1.0273740000e-03, -5.9389242690e+01, -1.2786033383e+00
5.2260000000e+09, 2.8370780000e-04, -1.0550620000e-03, -5.9231244749e+01, -1.3081085953e+00
5.2270000000e+09, 3.0222030000e-04, -1.0454320000e-03, -5.9265510411e+01, -1.2893817255e+00
5.2280000000e+09, 2.8018560000e-04, -1.0499240000e-03, -5.9278073344e+01, -1.3100108839e+00
5.2290000000e+09, 2.5143290000e-04, -1.0490570000e-03, -5.9341443766e+01, -1.3355585209e+00
5.2300000000e+09, 2.8646410000e-04, -1.1024210000e-03, -5.8869282013e+01, -1.3165687728e+00
5.2310000000e+09, 2.8982260000e-04, -1.0199830000e-03, -5.9490936631e+01, -1.2939485434e+00
5.2320000000e+09, 3.2569950000e-04, -1.0492990000e-03, -5.9182536719e+01, -1.2698282971e+00
5.2330000000e+09, 3.3714090000e-04, -1.0318210000e-03, -5.9287372807e+01, -1.2549882174e+00
5.2340000000e+09, 2.7566350000e-04, -1.0753520000e-03, -5.9092580757e+01, -1.3198527850e+00
5.2350000000e+09, 3.2150950000e-04, -1.0813260000e-03, -5.8952963837e+01, -1.2817918554e+00
5.2360000000e+09, 2.7596380000e-04, -1.0498830000e-03, -5.9287034581e+01, -1.3137587575e+00
5.2370000000e+09, 3.1155010000e-04, -1.0811450000e-03, -5.8975875719e+01, -1.2902307165e+00
5.2380000000e+09, 3.0153870000e-04, -1.0455700000e-03, -5.9265961368e+01, -1.2900186707e+00
5.2390000000e+09, 2.8788700000e-04, -1.0463320000e-03, -5.9289691679e+01, -1.3023006624e+00
5.2400000000e+09, 3.2464050000e-04, -1.0503450000e-03, -5.9177116344e+01, -1.2710303297e+00
5.2410000000e+09, 3.2656560000e-04, -1.0581380000e-03, -5.9114028757e+01, -1.2714475247e+00
5.2420000000e+09, 3.2375220000e-04, -1.0617640000e-03, -5.9093335007e+01, -1.2748326627e+00
5.2430000000e+09, 3.0489460000e-04, -1.0240490000e-03, -5.9424719372e+01, -1.2814193714e+00
5.2440000000e+09, 3.0659760000e-04, -1.0532660000e-03, -5.9196003306e+01, -1.2875316552e+00
5.2450000000e+09, 3.0817950000e-04, -1.0170970000e-03, -5.9471287945e+01, -1.2765903187e+00
5.2460000000e+09, 3.4986630000e-04, -1.0630070000e-03, -5.9022603013e+01, -1.2528345440e+00
5.2470000000e+09, 3.2092230000e-04, -9.9374420000e-04, -5.9623668997e+01, -1.2584264321e+00
5.2480000000e+09, 2.8313490000e-04, -1.0487080000e-03, -5.9281349817e+01, -1.3070989437e+00
5.2490000000e+09, 3.2412790000e-04, -1.0175230000e-03, -5.9429382401e+01, -1.2624128624e+00
5.2500000000e+09, 2.9118710000e-04, -1.0062870000e-03, -5.9596336774e+01, -1.2891221190e+00
5.2510000000e+09, 3.4576370000e-04, -1.0127210000e-03, -5.9411352105e+01, -1.2417850749e+00
5.2520000000e+09, 2.9454440000e-04, -1.0587010000e-03, -5.9180753812e+01, -1.2994454596e+00
5.2530000000e+09, 2.9070260000e-04, -1.0640190000e-03, -5.9148363264e+01, -1.3040933030e+00
5.2540000000e+09, 3.1799370000e-04, -1.0123790000e-03, -5.9484495632e+01, -1.2664495665e+00
5.2550000000e+09, 2.8718770000e-04, -1.1169840000e-03, -5.8761059011e+01, -1.3191372218e+00
5.2560000000e+09, 2.8475660000e-04, -1.0845480000e-03, -5.9005504852e+01, -1.3140338687e+00
5.2570000000e+09, 2.8358200000e-04, -1.0415690000e-03, -5.9335679436e+01, -1.3049752979e+00
5.2580000000e+09, 3.1475730000e-04, -1.0678540000e-03, -5.9067940015e+01, -1.2841566598e+00
5.2590000000e+09, 3.0970520000e-04, -1.0645870000e-03, -5.9103552638e+01, -1.2876943375e+00
5.2600000000e+09, 3.1848500000e-04, -1.0757650000e-03, -5.9000767222e+01, -1.2829632354e+00
5.2610000000e+09, 2.7944610000e-04, -1.0557370000e-03, -5.9234794367e+01, -1.3120375567e+00
5.2620000000e+09, 3.1347310000e-04, -1.0450970000e-03, -5.9242731087e+01, -1.2793886923e+00
5.2630000000e+09, 3.0116380000e-04, -1.0272300000e-03, -5.9408528609e+01, -1.2856076417e+00
5.2640000000e+09, 3.1344640000e-04, -1.0184420000e-03, -5.9448232827e+01, -1.2722259702e+00
5.2650000000e+09, 3.0327960000e-04, -1.0153920000e-03, -5.9496204644e+01, -1.2805488856e+00
5.2660000000e+09, 2.9992620000e-04, -1.0322470000e-03, -5.9372339611e+01, -1.2880255410e+00
5.2670000000e+09, 3.2552150000e-04, -1.0337510000e-03, -5.9301080154e+01, -1.2657323656e+00
5.2680000000e+09, 2.5310940000e-04, -1.0629220000e-03, -5.9230438533e+01, -1.3370240026e+00
5.2690000000e+09, 2.7609190000e-04, -1.0143900000e-03, -5.9565536973e+01, -1.3050581112e+00
