#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), S11re (), S11im (), S11dB (dB), S11Ph (rad), S22re (), S22im (), S22dB (dB), S22Ph (rad), Power (dBm)
1.0000000000e+07, -4.9568860000e-02, 3.3233830000e-02, -2.4483598156e+01, 2.5509699933e+00, -6.7378490000e-03, 4.1465800000e-02, -2.7533017540e+01, 1.7318801605e+00, -8.4540670000e-02, 3.0476310000e-02, -2.0928074350e+01, 2.7956008060e+00, 0.0000000000e+00
1.2698000000e+07, 2.3105150000e-03, 5.9742190000e-02, -2.4467886175e+01, 1.5321408296e+00, 6.2213650000e-04, 3.8207240000e-02, -2.8355935323e+01, 1.5545145560e+00, -6.4756260000e-02, 7.1965580000e-02, -2.0281483546e+01, 2.3035134449e+00, 0.0000000000e+00
1.5396000000e+07, 5.1539930000e-02, 2.9905580000e-02, -2.4496850292e+01, 5.2576410233e-01, 3.9170470000e-03, 3.5284030000e-02, -2.8995239857e+01, 1.4602343141e+00, -1.3798280000e-02, 8.4405650000e-02, -2.1358031080e+01, 1.7328387665e+00, 0.0000000000e+00
1.8094000000e+07, 5.2761360000e-02, -2.6439500000e-02, -2.4580704331e+01, -4.6453907603e-01, 7.4634100000e-03, 3.3299570000e-02, -2.9338366949e+01, 1.3503107640e+00, 2.0027950000e-02, 5.2526370000e-02, -2.5002939069e+01, 1.2065197397e+00, 0.0000000000e+00
2.0792000000e+07, 5.9283500000e-03, -5.8569670000e-02, -2.4602276332e+01, -1.4699211168e+00, 1.0453530000e-02, 3.0967820000e-02, -2.9713140221e+01, 1.2452456607e+00, 1.5200860000e-02, 2.3499390000e-02, -3.1060788178e+01, 9.9663031809e-01, 0.0000000000e+00
2.3490000000e+07, -4.5464550000e-02, -3.6187760000e-02, -2.4715230488e+01, -2.4693227216e+00, 1.1453930000e-02, 2.9102450000e-02, -3.0095967126e+01, 1.1958429706e+00, 9.2851660000e-03, 1.4082940000e-02, -3.5458513206e+01, 9.8789703849e-01, 0.0000000000e+00
2.6188000000e+07, -5.4189680000e-02, 1.7601450000e-02, -2.4886070056e+01, -3.4556543645e+00, 1.2819690000e-02, 2.7884140000e-02, -3.0260091671e+01, 1.1398652282e+00, 5.4068710000e-03, -1.3454690000e-05, -4.5341052946e+01, -2.4884378096e-03, 0.0000000000e+00
2.8886000000e+07, -1.4395340000e-02, 5.4909480000e-02, -2.4918371545e+01, -4.4559941454e+00, 1.4456020000e-02, 2.6818860000e-02, -3.0323454447e+01, 1.0764187113e+00, -1.4443540000e-02, -1.1093800000e-02, -3.4792699180e+01, -2.4866201511e+00, 0.0000000000e+00
3.1584000000e+07, 3.8583420000e-02, 4.2066860000e-02, -2.4870087971e+01, -5.4546220580e+00, 1.5507050000e-02, 2.5914270000e-02, -3.0399965952e+01, 1.0315555247e+00, -3.7464830000e-02, -3.0615270000e-03, -2.8498620076e+01, -3.0600564637e+00, 0.0000000000e+00
3.4282000000e+07, 5.6380950000e-02, -9.5549780000e-03, -2.4854377542e+01, -6.4510620026e+00, 1.6611840000e-02, 2.6019450000e-02, -3.0209230467e+01, 1.0025910987e+00, -5.3602160000e-02, 1.8305880000e-02, -2.4937254620e+01, -3.4706875160e+00, 0.0000000000e+00
